8000B, 1, 78.52ns



8000B, 2, 94.15ns



8000B, 4, 111.22ns



8000B, 8, 91.93ns



8000B, 16, 41.70ns



16000B, 1, 19.17ns



16000B, 2, 22.32ns



16000B, 4, 26.91ns



16000B, 8, 32.45ns



16000B, 16, 41.98ns



32000B, 1, 19.87ns



32000B, 2, 22.65ns



32000B, 4, 29.53ns



32000B, 8, 32.84ns



32000B, 16, 42.87ns



64000B, 1, 21.07ns



64000B, 2, 22.72ns



64000B, 4, 26.41ns



64000B, 8, 33.34ns



64000B, 16, 42.46ns



128000B, 1, 20.74ns



128000B, 2, 24.94ns



128000B, 4, 30.12ns



128000B, 8, 33.85ns



128000B, 16, 40.51ns



256000B, 1, 22.52ns



256000B, 2, 23.13ns



256000B, 4, 27.51ns



256000B, 8, 34.40ns



256000B, 16, 37.63ns



512000B, 1, 24.87ns



512000B, 2, 26.15ns



512000B, 4, 30.11ns



512000B, 8, 35.21ns



512000B, 16, 37.92ns



1024000B, 1, 26.19ns



1024000B, 2, 28.07ns



1024000B, 4, 33.03ns



1024000B, 8, 37.26ns



1024000B, 16, 38.78ns



2048000B, 1, 29.15ns



2048000B, 2, 27.95ns



2048000B, 4, 29.36ns



2048000B, 8, 40.19ns



2048000B, 16, 44.84ns



4096000B, 1, 26.69ns



4096000B, 2, 27.49ns



4096000B, 4, 30.76ns



4096000B, 8, 44.25ns



4096000B, 16, 43.55ns



8192000B, 1, 36.28ns



8192000B, 2, 38.22ns



8192000B, 4, 42.89ns



8192000B, 8, 47.60ns



8192000B, 16, 46.90ns



16384000B, 1, 63.36ns



16384000B, 2, 55.30ns



16384000B, 4, 46.56ns



16384000B, 8, 53.10ns



16384000B, 16, 49.53ns



