Size ,Latency ,NumThread
8000B,20.49,1
8000B,34.93,2
8000B,39.39,4
8000B,50.27,8
8000B,58.94,16
16000B,21.66,1
16000B,34.35,2
16000B,43.21,4
16000B,53.29,8
16000B,59.09,16
32000B,23.01,1
32000B,34.27,2
32000B,43,4
32000B,52.96,8
32000B,55.22,16
64000B,30.54,1
64000B,43.24,2
64000B,50.41,4
64000B,63.27,8
64000B,68.65,16
128000B,21.4,1
128000B,37.91,2
128000B,41.25,4
128000B,53.43,8
128000B,58.88,16
256000B,22.38,1
256000B,33.94,2
256000B,38.78,4
256000B,48.44,8
256000B,48.79,16
512000B,36.27,1
512000B,48.14,2
512000B,56.85,4
512000B,69.27,8
512000B,60.56,16
1024000B,27.35,1
1024000B,32.74,2
1024000B,36.63,4
1024000B,44.94,8
1024000B,45.44,16
2048000B,28.6,1
2048000B,34.29,2
2048000B,37.33,4
2048000B,47.88,8
2048000B,48.38,16
4096000B,29.18,1
4096000B,30.73,2
4096000B,34.62,4
4096000B,50.52,8
4096000B,61.57,16
8192000B,44.1,1
8192000B,41.88,2
8192000B,62.44,4
8192000B,74.92,8
8192000B,74.2,16
16384000B,66.54,1
16384000B,65.66,2
16384000B,51.24,4
16384000B,59.72,8
16384000B,67.83,16
